Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,maalissa,purj.aika,tas.aika
3204,Meie,J. Jyrkkiö,Avance 33,"1,12",13.43.15,2.13.15,2.29.14
10263,Wilma,T. Fagerström,Bavaria 35 M,"1,25",13.34.35,2.04.45,2.35.56
4430,Iida II,E. Salminen,Diva 39,"1,22",13.39.45,2.09.45,2.38.18
11939,Nordwest V,T. Päivärinta,Baltic 39,"1,21",13.41.19,2.11.19,2.38.54
6643,Venda,P. Johansson,Sunwind 311,"1,06",14.02.15,2.32.15,2.41.23
10628,Crista,E. Mickelsson,Elan 37,"1,23",13.42.52,2.12.52,2.43.26
    , Carpe Diem, S. Kaapro, Sun Odyssey 36,"1,10",14.02.35,2.32.35,2.47.51
5947,Lazy Days,A. Erfe,Guyline 95,"1,11",14.05.02,2.35.02,2.52.05	
