Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,maalissa,purj.aika,tas.aika
2295,Felina,M. Niemelä,FE83,"1,05",17.49.18,5.19.18,5.35.16
    , Carpe Diem, S. Kaapro, Sun Odyssey 36,"1,10",18.08.17,5.38.17,6.12.07
3204,Meie,J. Jyrkkiö,Avnce 33,"1,13",18.01.03,5.31.03,6.14.47
4430,Iida II,E. Salminen,Diva 39,"1,22",17.52.01,5.22.01,6.32.52
10628,Crista,E. Mickelsson,Elan 37,"1,23",17.51.01,5.21.01,6.34.51
