Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,maalissa,purj.aika,tas.aika
2295,Felina,Matti Niemelä,FE 83,"1,05",14:52:55,3:07:55,3:17:18
4430,Iida II, Esko Salminen,Diva 39,"1,22",14:28:32,2:43:32,3:19:30
3204,Meie,Jouko Jyrkkiö,Avance 33,"1,12",14:43:50,2:58:50,3:20:17
10263,Wilma,Tapio Fegerström,Bavaria 36 Match,"1,24",14:32:41,2:47:41,3:27:55
10628,Crista,Esko Mickelsson,Elan 37,"1,23",14:34:19,2:49:19,3:28:15
10216,Elida,Matti Nyfors,Bavaria 36,"1,14",14:54:22,3:09:22,3:35:52
-,Carpe Diem,Stefan Kaapro,Sun Odyssey 36,"1,10",15:16:21,3:31:21,3:52:29
